Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	2	1	0	0	1	0	0	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	d__Bacteria; p__Ignavibacteriae; c__Ignavibacteria; o__Ignavibacteriales
d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Kiritimatiellaeota; c__Kiritimatiellae; o__Kiritimatiellales
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2	0	48	2	0	7	1	21	0	1	0	2	1	6	1	1	1	14	0	3	2	1	1	0	1	0	2	0	1	1	17	35	2	0	0	0	0	0	0	0	0	0	3	1	1	0	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Victivallales
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	0	2	1	1	0	1	3	1	0	0	0	2	1	2	3	3	1	1	0	1	0	1	1	1	1	0	1	2	1	0	0	2	0	2	2	0	0	0	1	0	0	0	2	0	1	0	d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales
d__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	0	0	1	0	0	1	0	2	0	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Candidatus_Brocadiales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Candidatus_Brocadiales
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	1	1	2	3	6	6	1	5	0	4	1	5	0	3	3	6	0	5	0	3	4	0	2	2	3	0	2	1	1	3	6	2	0	0	6	1	0	2	2	0	0	0	11	1	2	1	d__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	0	0	0	0	1	2	0	2	0	0	0	1	2	0	1	1	1	3	0	0	0	1	0	1	0	0	1	0	0	1	1	4	0	2	1	0	1	0	3	0	0	0	5	1	0	0	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	4	0	3	1	4	11	1	3	4	3	0	3	5	2	3	9	1	4	0	8	2	0	5	1	2	2	4	0	6	0	6	1	0	1	0	2	1	1	6	0	0	0	8	3	0	1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Holosporales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Magnetococcales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvularculales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1	3	1	1	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	19	32	23	15	68	78	29	67	40	23	13	44	35	32	35	95	17	42	13	60	32	34	38	11	43	4	55	25	32	22	68	49	16	44	32	23	22	27	48	1	7	7	98	35	30	28	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	9	4	18	10	24	31	13	27	11	10	2	15	18	18	18	34	7	9	10	26	8	11	16	4	14	0	26	16	17	4	27	25	6	14	6	10	6	10	15	0	0	0	36	13	9	9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	10	2	11	8	16	23	4	31	15	4	3	19	6	12	19	20	9	8	5	13	11	12	13	6	13	0	15	2	14	11	21	10	6	13	5	6	7	10	23	0	2	0	28	5	4	3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	3	1	2	0	1	2	5	3	2	3	1	1	3	1	3	1	1	3	1	0	1	0	0	1	0	0	4	1	0	2	0	4	0	2	1	3	0	0	2	0	0	0	3	1	1	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	13	7	6	6	23	27	5	19	13	8	2	20	12	13	20	30	8	6	3	19	5	10	24	7	11	4	18	10	11	11	23	14	7	11	4	12	5	7	18	1	1	8	35	8	1	6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	738	287	1060	168	8552	397	322	314	258	142	131	330	3259	225	661	439	339	360	2413	476	235	2726	349	11213	196	28	435	663	385	697	3540	273	97	769	270	252	157	3353	297	25	40	44	467	388	167	409	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	6	8	6	4	13	11	8	10	7	4	1	9	7	5	16	14	3	6	8	9	13	5	7	2	6	0	11	10	8	5	15	8	3	11	8	10	8	9	7	0	0	0	9	9	6	5	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	5	3	1	3	6	3	2	4	3	1	0	7	1	5	3	3	1	3	2	2	2	4	7	3	4	0	3	2	3	5	3	5	4	6	0	0	2	2	1	0	0	0	4	4	3	1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1	4	1	2	6	2	4	4	3	2	2	2	3	5	6	7	5	0	2	3	2	3	5	4	6	0	8	4	7	1	10	6	0	6	1	1	0	3	4	0	0	0	5	3	0	3	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bradymonadales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	6	4	4	2	9	2	5	9	2	2	5	3	5	4	4	12	0	3	3	8	7	2	3	5	3	0	8	6	5	7	8	0	3	3	3	6	2	1	6	1	0	0	6	1	0	4	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	13	6	72	8	42	200	3	216	17	3	4	24	16	79	19	505	10	9	5	25	7	16	19	116	8	0	13	9	28	16	232	10	5	15	31	8	8	15	93	0	0	2	455	9	12	24	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfurellales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	6	5	5	4	16	17	6	21	6	8	2	6	6	5	8	15	6	12	1	17	5	2	8	1	9	0	8	5	5	7	10	13	4	5	2	5	3	12	9	0	0	0	13	3	1	1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	10	3	4	6	9	21	4	33	9	5	0	9	9	6	19	37	4	8	2	22	2	5	9	4	3	0	13	5	9	10	29	14	3	9	3	6	2	5	11	0	0	0	29	12	5	5	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	0	0	1	0	3	0	2	1	1	1	0	1	0	2	0	2	2	0	0	3	0	0	0	0	2	0	1	1	0	0	0	2	0	1	3	0	1	0	0	0	0	0	1	1	0	0	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	11	96	19	18	44	36	62	17	13	45	36	23	54	17	104	13	385	36	14	43	26	22	18	9	44	0	25	22	5	15	11	8	70	158	12	30	46	8	33	0	0	0	14	12	15	56	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
