	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
Earth	0.56882407873	0.42479115602	0.597969476434	0.451411252131	0.583401431049	0.523682673209	0.630249736194	0.685980573803	0.519013867488	0.748292870588	0.0	0.529962505269	0.588592603912	0.664737183647	0.717801859711	0.676345594239	0.656646567786	0.499673741987	0.501921240772	0.509596525637	0.455724632195	0.533703913783	0.683429416112	0.64879934323	0.583886394691	0.982939046769	0.543473780842	0.627287724406	0.611095961724	0.631156500828	0.699050632911	0.663773506923	0.659329823682	0.652388035449	0.495470257326	0.464670922298	0.470370688914	0.471591606332	0.563442336219	0.966368374471	0.974721042757	0.915248613547	0.583190029949	0.451779904153	0.32864737153	0.577188263303
Fleet	0.538856775851	0.43373307029	0.471712978395	0.412033076704	0.397728916534	0.257772399115	0.395093770931	0.482344858047	0.461993086273	0.514901044742	0.529962505269	0.0	0.369935459179	0.460371999267	0.502630295876	0.542175507581	0.492864354517	0.395286265877	0.449117989682	0.371479071262	0.323115420707	0.356379303337	0.478642571106	0.664082768597	0.315016805812	0.985846445797	0.329664319409	0.391697260661	0.632812408955	0.589671673727	0.517516295272	0.436333401842	0.43961456762	0.518100876266	0.390816698384	0.40530118866	0.488681035651	0.431729008632	0.342598115233	0.972986768228	0.979515461887	0.929388439835	0.308828182681	0.378513669619	0.502551870945	0.475485913173
Giant	0.537182222764	0.444915254237	0.510459737176	0.426128881956	0.421727945289	0.37284666244	0.325074925075	0.540181545636	0.525415404764	0.557123237825	0.588592603912	0.369935459179	0.0	0.37335820163	0.601464496521	0.511275071871	0.447805096	0.511253022506	0.459630358982	0.380441349944	0.363068585814	0.38408427016	0.565307667352	0.670250289229	0.332059781998	0.989009302183	0.419702980832	0.390537264409	0.630220866277	0.685773336124	0.498967762427	0.406282894737	0.437857291162	0.488059039313	0.421982249043	0.326360457819	0.43857564751	0.429705578027	0.321604112753	0.978685721265	0.984386480529	0.949383710866	0.374362970467	0.373778425422	0.537929543981	0.463162810003
Glint	0.698891300522	0.501931803449	0.672620849733	0.404434939217	0.508983509722	0.496737396684	0.2533714951	0.434059348049	0.586821278937	0.658296667881	0.664737183647	0.460371999267	0.37335820163	0.0	0.711892421908	0.534455231931	0.620621460462	0.590877705222	0.486176668914	0.552534702893	0.362418215127	0.512025880257	0.416502098247	0.786787260521	0.383122298885	0.981222660834	0.584064665127	0.455136904287	0.7783777646	0.790357867169	0.432269092241	0.442062461414	0.596117634976	0.665003944723	0.575222891285	0.487899960451	0.479452662394	0.557567127746	0.415634285714	0.970403255642	0.973350321176	0.920020325203	0.507767491756	0.507035785745	0.568042412847	0.619655755583
Grace	0.366995218113	0.606435405713	0.301164973969	0.676616345355	0.616874202172	0.553687549564	0.62073897497	0.684290449282	0.614250674516	0.236237316371	0.717801859711	0.502630295876	0.601464496521	0.711892421908	0.0	0.698457188213	0.605277744784	0.524755504819	0.663720549825	0.488557169692	0.623020471224	0.605328827658	0.668196131354	0.57246559294	0.599236279435	0.993248849664	0.468240532455	0.429861357981	0.699426648935	0.549714663117	0.684243332334	0.676942957356	0.36882416397	0.4283587908	0.563012135671	0.639555509779	0.627732352311	0.620948240728	0.602137584581	0.986542112287	0.99002240253	0.96267743968	0.548711888442	0.509469219787	0.722023229674	0.536857643694
Honor	0.628206121658	0.600476917606	0.673605450099	0.504890794587	0.482982171799	0.503674436981	0.460392312265	0.491196170046	0.658796460177	0.672141722906	0.676345594239	0.542175507581	0.511275071871	0.534455231931	0.698457188213	0.0	0.722772016634	0.59326558876	0.642043887641	0.456452432657	0.552895557616	0.607283236994	0.555390156062	0.665937580137	0.444118912496	0.98728026297	0.564883500539	0.547969671441	0.632690417274	0.633942362551	0.36446004967	0.42993862848	0.70422701744	0.740515553127	0.569804945477	0.58204071157	0.659249443248	0.648466131357	0.446331521739	0.975286723716	0.981409594359	0.938870064311	0.481067472306	0.51822946337	0.647115269282	0.679028009543
Inlet	0.533375585223	0.512396815389	0.512818210389	0.651057170037	0.569278261091	0.510645488341	0.550898879576	0.706561408455	0.584035580524	0.614173696091	0.656646567786	0.492864354517	0.447805096	0.620621460462	0.605277744784	0.722772016634	0.0	0.452537751939	0.577499227116	0.479285086434	0.534665723382	0.57040500166	0.659091641685	0.68318933198	0.583845097898	0.992600859788	0.430574278781	0.56822912748	0.715736599969	0.655404892748	0.704928853404	0.652895798254	0.436381393659	0.389913512714	0.516334639369	0.484148567147	0.584900105715	0.614418699069	0.568975854363	0.985502172615	0.990056730273	0.959811833408	0.492622786836	0.440912903368	0.606707366183	0.402542327274
Joker	0.494894153041	0.396617190197	0.441664955158	0.522609279883	0.519482811172	0.417056351098	0.493659800398	0.608797555769	0.422574335541	0.542208671289	0.499673741987	0.395286265877	0.511253022506	0.590877705222	0.524755504819	0.59326558876	0.452537751939	0.0	0.497504763633	0.354218398106	0.440095769535	0.489855794022	0.537280654069	0.590808698607	0.530781967336	0.989111269218	0.344837582582	0.495423071488	0.653928179057	0.516653106218	0.618965627192	0.617828714866	0.506187585939	0.467010969219	0.409608875184	0.546670665867	0.534053722389	0.500916668242	0.503933299611	0.978524398499	0.984206305139	0.93830612429	0.406154664497	0.349822278855	0.457848079263	0.436798959011
Kneel	0.638339485428	0.344128801098	0.554814466886	0.495394473368	0.525238847514	0.518364851291	0.451318902813	0.608762072448	0.543058404614	0.700667704732	0.501921240772	0.449117989682	0.459630358982	0.486176668914	0.663720549825	0.642043887641	0.577499227116	0.497504763633	0.0	0.5534998253	0.35208558157	0.536007137698	0.575168368455	0.613874111312	0.556828774754	0.98454364908	0.526145877678	0.58953855183	0.732208372671	0.678237391291	0.562239772961	0.640156453716	0.504981379508	0.595648297631	0.485083153485	0.523220029558	0.49768719575	0.531684345282	0.529086907777	0.96974761109	0.978153356556	0.92322377158	0.545786609198	0.522189937299	0.451260207819	0.542261948733
Knife	0.365795751841	0.462655746885	0.444158240744	0.438455141828	0.37366896859	0.316410093901	0.454445131841	0.533987571992	0.480656773547	0.453932959031	0.509596525637	0.371479071262	0.380441349944	0.552534702893	0.488557169692	0.456452432657	0.479285086434	0.354218398106	0.5534998253	0.0	0.436616246104	0.470222251253	0.552199580285	0.562924765305	0.327554775909	0.990408573342	0.266306582174	0.373826197097	0.562489779231	0.570492610837	0.503765393816	0.426775689529	0.518890346377	0.42405187053	0.398127798128	0.421886771394	0.505795508089	0.4957431744	0.292303743041	0.981333333333	0.986155655335	0.945947358791	0.261140212139	0.231380337637	0.554505899416	0.421122079953
