	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
Earth	0.518918918919	0.497297297297	0.520435967302	0.527536231884	0.515957446809	0.52	0.527220630372	0.530555555556	0.495798319328	0.491279069767	0.0	0.549071618037	0.524725274725	0.546218487395	0.534005037783	0.509695290859	0.491525423729	0.525065963061	0.521472392638	0.502631578947	0.523255813953	0.530726256983	0.518421052632	0.542483660131	0.481366459627	0.871794871795	0.514360313316	0.494535519126	0.510385756677	0.533333333333	0.533149171271	0.537142857143	0.501519756839	0.505102040816	0.492795389049	0.505617977528	0.507886435331	0.512658227848	0.529247910864	0.822033898305	0.88085106383	0.766666666667	0.506631299735	0.478873239437	0.493902439024	0.463768115942
Fleet	0.405472636816	0.447368421053	0.421836228288	0.451030927835	0.396551724138	0.423357664234	0.455470737913	0.437185929648	0.440594059406	0.442748091603	0.549071618037	0.0	0.388746803069	0.438775510204	0.392857142857	0.406565656566	0.455665024631	0.428915662651	0.510362694301	0.431279620853	0.451030927835	0.420918367347	0.423076923077	0.506925207756	0.468421052632	0.891304347826	0.431279620853	0.405940594059	0.434210526316	0.474201474201	0.424242424242	0.412073490814	0.473958333333	0.417249417249	0.412371134021	0.4335839599	0.436464088398	0.474254742547	0.435768261965	0.851393188854	0.904615384615	0.810397553517	0.39608801956	0.401515151515	0.451187335092	0.430730478589
Giant	0.414572864322	0.414392059553	0.394871794872	0.428191489362	0.42118226601	0.436274509804	0.441253263708	0.466165413534	0.45	0.407407407407	0.524725274725	0.388746803069	0.0	0.452442159383	0.366093366093	0.407692307692	0.42199488491	0.422604422604	0.489304812834	0.394088669951	0.464935064935	0.4140625	0.408866995074	0.51404494382	0.470588235294	0.887820512821	0.401960784314	0.422885572139	0.480519480519	0.437340153453	0.429667519182	0.430079155673	0.488188976378	0.403341288783	0.425974025974	0.4625	0.472527472527	0.513440860215	0.457070707071	0.850318471338	0.911949685535	0.811912225705	0.393034825871	0.418781725888	0.473544973545	0.428205128205
Glint	0.440203562341	0.455223880597	0.460759493671	0.417127071823	0.422784810127	0.418367346939	0.430894308943	0.473007712082	0.444444444444	0.459102902375	0.546218487395	0.438775510204	0.452442159383	0.0	0.406403940887	0.437823834197	0.498746867168	0.44	0.493112947658	0.415	0.434426229508	0.424	0.406091370558	0.564606741573	0.478021978022	0.888513513514	0.418952618454	0.444444444444	0.471698113208	0.491094147583	0.389189189189	0.477572559367	0.5	0.45	0.444444444444	0.403743315508	0.488764044944	0.44476744186	0.405913978495	0.848993288591	0.921052631579	0.835483870968	0.441687344913	0.440721649485	0.493261455526	0.470437017995
Grace	0.390476190476	0.351807228916	0.375302663438	0.413965087282	0.36276849642	0.389150943396	0.386934673367	0.424460431655	0.393719806763	0.402469135802	0.534005037783	0.392857142857	0.366093366093	0.406403940887	0.0	0.399038461538	0.393203883495	0.398601398601	0.423772609819	0.363849765258	0.425742574257	0.427884615385	0.362559241706	0.520618556701	0.487745098039	0.905027932961	0.344418052257	0.367788461538	0.459657701711	0.430622009569	0.392682926829	0.446601941748	0.403598971722	0.35103926097	0.404411764706	0.41726618705	0.478481012658	0.486075949367	0.419277108434	0.859550561798	0.913888888889	0.828729281768	0.374117647059	0.362745098039	0.456575682382	0.383292383292
Honor	0.450980392157	0.442822384428	0.466992665037	0.458333333333	0.430317848411	0.357326478149	0.474489795918	0.411917098446	0.431818181818	0.461734693878	0.509695290859	0.406565656566	0.407692307692	0.437823834197	0.399038461538	0.0	0.45885286783	0.450602409639	0.514435695538	0.415048543689	0.466321243523	0.43989769821	0.398514851485	0.527777777778	0.459677419355	0.895238095238	0.430288461538	0.473557692308	0.445623342175	0.462311557789	0.414948453608	0.455958549223	0.524296675192	0.456221198157	0.455470737913	0.486486486486	0.490514905149	0.522666666667	0.422680412371	0.858044164038	0.901898734177	0.816199376947	0.378446115288	0.455445544554	0.486910994764	0.487684729064
Inlet	0.410126582278	0.402010050251	0.426767676768	0.448548812665	0.436274509804	0.447432762836	0.436842105263	0.454314720812	0.434010152284	0.440104166667	0.491525423729	0.455665024631	0.42199488491	0.498746867168	0.393203883495	0.45885286783	0.0	0.410447761194	0.481081081081	0.424757281553	0.460732984293	0.430051813472	0.408415841584	0.534818941504	0.498680738786	0.886731391586	0.424757281553	0.4225	0.503856041131	0.441025641026	0.468671679198	0.489795918367	0.484126984127	0.402877697842	0.453846153846	0.477611940299	0.489071038251	0.476454293629	0.441025641026	0.84142394822	0.907643312102	0.813880126183	0.427872860636	0.414322250639	0.489473684211	0.435897435897
Joker	0.407317073171	0.355721393035	0.4039408867	0.411917098446	0.413875598086	0.443396226415	0.432911392405	0.453658536585	0.418719211823	0.416243654822	0.525065963061	0.428915662651	0.422604422604	0.44	0.398601398601	0.450602409639	0.410447761194	0.0	0.494871794872	0.379807692308	0.436224489796	0.406565656566	0.378640776699	0.49863760218	0.511278195489	0.901785714286	0.371980676329	0.376237623762	0.4825	0.42144638404	0.444987775061	0.472772277228	0.450777202073	0.354761904762	0.422110552764	0.4075	0.470899470899	0.494764397906	0.425373134328	0.860119047619	0.917647058824	0.834302325581	0.358722358722	0.399503722084	0.479695431472	0.439803439803
Kneel	0.439024390244	0.446808510638	0.477333333333	0.464183381089	0.477922077922	0.49354005168	0.47323943662	0.530343007916	0.481182795699	0.463483146067	0.521472392638	0.510362694301	0.489304812834	0.493112947658	0.423772609819	0.514435695538	0.481081081081	0.494871794872	0.0	0.46529562982	0.481586402266	0.506738544474	0.488491048593	0.532507739938	0.53125	0.868217054264	0.484771573604	0.447721179625	0.481375358166	0.517333333333	0.53280839895	0.540540540541	0.449404761905	0.449494949495	0.469444444444	0.474114441417	0.5	0.517857142857	0.501347708895	0.813953488372	0.897727272727	0.786516853933	0.533498759305	0.47311827957	0.486956521739	0.419263456091
Knife	0.382926829268	0.424882629108	0.440758293839	0.454094292804	0.386091127098	0.404761904762	0.4275	0.436893203883	0.40586797066	0.43842364532	0.502631578947	0.431279620853	0.394088669951	0.415	0.363849765258	0.415048543689	0.424757281553	0.379807692308	0.46529562982	0.0	0.4425	0.42118226601	0.400943396226	0.550387596899	0.443298969072	0.898255813953	0.335766423358	0.402877697842	0.437974683544	0.420147420147	0.424390243902	0.428571428571	0.48	0.346698113208	0.443902439024	0.421951219512	0.460732984293	0.52644836272	0.388471177945	0.860869565217	0.913793103448	0.82905982906	0.36231884058	0.40243902439	0.458227848101	0.449519230769
