# Constructed from biom file
#OTU ID	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	45.0	20.0	14.0	22.0	11.0	27.0	54.0	4.0	150.0	12.0	75.0	15.0	41.0	27.0	43.0	16.0	9.0	5.0	19.0	33.0	17.0	7.0	3.0	19.0	32.0	0.0	13.0	43.0	421.0	66.0	24.0	24.0	29.0	31.0	15.0	159.0	161.0	61.0	32.0	0.0	1.0	0.0	20.0	69.0	13.0	37.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	75.0	2.0	0.0	6.0	4.0	1.0	42.0	5.0	51.0	15.0	4.0	8.0	10.0	32.0	72.0	20.0	0.0	24.0	13.0	12.0	9.0	0.0	3.0	0.0	381.0	0.0	4.0	59.0	2.0	0.0	45.0	56.0	3.0	7.0	3.0	9.0	251.0	95.0	18.0	0.0	0.0	0.0	100.0	220.0	6.0	1416.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_choerinum	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	9.0	0.0	0.0	5.0	8.0	0.0	5.0	0.0	3.0	2.0	0.0	1.0	9.0	7.0	10.0	10.0	0.0	7.0	2.0	2.0	5.0	1.0	2.0	0.0	2.0	0.0	0.0	8.0	4.0	0.0	14.0	8.0	0.0	0.0	2.0	2.0	43.0	9.0	37.0	1.0	0.0	0.0	2.0	23.0	0.0	7.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_kashiwanohense	322.0	2.0	1.0	12.0	11.0	1.0	20.0	5.0	72.0	20.0	3.0	25.0	18.0	38.0	321.0	36.0	0.0	77.0	49.0	7.0	4.0	1.0	1.0	0.0	115.0	0.0	0.0	155.0	17.0	0.0	39.0	14.0	0.0	5.0	13.0	9.0	772.0	266.0	25.0	0.0	0.0	1.0	27.0	66.0	10.0	488.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	4024.0	4.0	11.0	670.0	126.0	1600.0	352.0	151.0	752.0	62.0	4837.0	475.0	1009.0	67.0	179.0	129.0	48.0	21.0	494.0	1796.0	310.0	3.0	9.0	1233.0	985.0	0.0	136.0	1277.0	23675.0	1.0	752.0	548.0	189.0	478.0	622.0	7600.0	2833.0	835.0	634.0	3.0	2.0	0.0	595.0	3590.0	843.0	1408.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	2119.0	0.0	2.0	11.0	8.0	2.0	7.0	6.0	501.0	118.0	3.0	140.0	12.0	7.0	2085.0	156.0	0.0	405.0	330.0	8.0	22.0	0.0	1.0	1.0	66.0	0.0	2.0	49.0	3.0	0.0	25.0	27.0	0.0	5.0	100.0	12.0	4413.0	2064.0	90.0	0.0	0.0	0.0	24.0	26.0	38.0	113.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	1.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	6.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	4.0	3.0	0.0	0.0	1.0	1.0	3.0	5.0	4.0	0.0	0.0	0.0	1.0	2.0	4.0	1.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_scardovii	4.0	0.0	1.0	0.0	2.0	2.0	8.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	3.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	2.0	1.0	4.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum	1.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	1.0	14.0	0.0	1.0	8.0	2.0	0.0	0.0	4.0	3.0	0.0	3.0	0.0	7.0	0.0	1.0	3.0	4.0	0.0	6.0	20.0	0.0	2.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	4.0	15.0	0.0	1.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	14.0	0.0	1.0	4.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Catenulisporaceae|g__Catenulispora|s__Catenulispora_acidiphila	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_simulans	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	17.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	3.0
